,,"Cyclotron","BL2A",,"ISAC",,,,,,,,,"OLIS",,,,,,,
Date,Shift,Offline,"current (uA)",Offline,Exp. #,Facility,Note,"West / East","Beam","Energy (keV)","Tgt","Source","Mod",Exp. #,Facility,Note,"Beam","Energy (keV)","Source",Offline
"2016-05-16","AM",,,,"S841","YIELD ","Rotating Beam Tests","East","Various","20-30","LP Ta","TRILIS","4","S1545","TIGRESS (SEBT3A)",,"6,7Li","15000","SIS",,
"2016-05-16","PM",,,,"S841","YIELD ","Rotating Beam Tests","East","Various","20-30","LP Ta","TRILIS","4","S1545","TIGRESS (SEBT3A)",,"6,7Li","15000","SIS",,
"2016-05-17","AM",Beam Development,,Maintenance,,,,,,,,,,"S1545","TIGRESS (SEBT3A)",,"6,7Li","15000","SIS",,
"2016-05-17","PM",,,,"S841","YIELD ","Rotating Beam Tests","East","Various","20-30","LP Ta","TRILIS","4","S1545","TIGRESS (SEBT3A)",,"6,7Li","15000","SIS",,
"2016-05-18","AM",,,,"S841","YIELD ","Rotating Beam Tests","East","Various","20-30","LP Ta","TRILIS","4","Start-up","N/A",,"16O","30000","MWIS",,
"2016-05-18","PM",,,,"S841","YIELD ","Rotating Beam Tests","East","Various","20-30","LP Ta","TRILIS","4","Start-up","N/A",,"16O","30000","MWIS",,
"2016-05-19","AM",,,,"S841","YIELD ","Rotating Beam Tests","East","Various","20-30","LP Ta","TRILIS","4","Setup","TIGRESS (SEBT3A)",,"16O","30000","MWIS",,
"2016-05-19","PM",,,,"S841","YIELD ","Rotating Beam Tests","East","Various","20-30","LP Ta","TRILIS","4","Setup","TIGRESS (SEBT3A)",,"16O","30000","MWIS",,
"2016-05-20","AM",,,,"Setup","TIGRESS (SEBT3A)",,"East","8Li","15000","LP Ta","TRILIS","4","S1545","TIGRESS (SEBT3A)",,"16O","30000","MWIS",,
"2016-05-20","PM",,,,"Setup","TIGRESS (SEBT3A)",,"East","8Li","15000","LP Ta","TRILIS","4","S1545","TIGRESS (SEBT3A)",,"16O","30000","MWIS",,
"2016-05-21","AM",,,,"S1545","TIGRESS (SEBT3A)",,"East","8Li","15000","LP Ta","TRILIS","4",,,,,,,,
"2016-05-21","PM",,,,"S1545","TIGRESS (SEBT3A)",,"East","8Li","15000","LP Ta","TRILIS","4",,,,,,,,
"2016-05-22","AM",,,,"S1545","TIGRESS (SEBT3A)",,"East","8Li","15000","LP Ta","TRILIS","4",,,,,,,,
"2016-05-22","PM",,,,"S1545","TIGRESS (SEBT3A)",,"East","8Li","15000","LP Ta","TRILIS","4",,,,,,,,
"2016-05-23","AM",,,,"S1545","TIGRESS (SEBT3A)",,"East","8Li","15000","LP Ta","TRILIS","4",,,,,,,(If req.) Maintenance,
"2016-05-23","PM",,,,"Setup","?NMR (ILE2A3)",,"East","8Li","20-30","LP Ta","TRILIS","4",,,,,,,(If req.) Maintenance,
"2016-05-24","AM",,,,"M1354","?NMR (ILE2A3)",,"East","8Li","20-30","LP Ta","TRILIS","4",,,,,,,(If req.) Maintenance,
"2016-05-24","PM",,,,"M1354","?NMR (ILE2A3)",,"East","8Li","20-30","LP Ta","TRILIS","4",,,,,,,(If req.) Maintenance,
"2016-05-25","AM",Maintenance,,Maintenance,,,,,,,,,,"Start-up","N/A",,"32S","128000","MCIS",,
"2016-05-25","PM",,,,"M1354","?NMR (ILE2A3)",,"East","8Li","20-30","LP Ta","TRILIS","4","Start-up","N/A",,"32S","128000","MCIS",,
"2016-05-26","AM",,,,"M1354","?NMR (ILE2A3)","M1419 (bNQR)","East","8Li","20-30","LP Ta","TRILIS","4","Setup","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-26","PM",,,,"M1354","?NMR (ILE2A3)","M1419 (bNQR)","East","8Li","20-30","LP Ta","TRILIS","4","Setup","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-27","AM",,,,"M1354","?NMR (ILE2A3)","M1419 (bNQR)","East","8Li","20-30","LP Ta","TRILIS","4","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-27","PM",,,,"M1354","?NMR (ILE2A3)","M1419 (bNQR)","East","8Li","20-30","LP Ta","TRILIS","4","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-28","AM",,,,"M1354","?NMR (ILE2A3)","M1419 (bNQR)","East","8Li","20-30","LP Ta","TRILIS","4","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-28","PM",,,,"Test","N/A","Operator Training","East","7Li","20-30","LP Ta","TRILIS","4","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-29","AM",,,,"Test","N/A","Operator Training","East","7Li","20-30","LP Ta","TRILIS","4","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-29","PM",,,,"Test","N/A","Operator Training/ Target Scan","East","7Li","20-30","LP Ta","TRILIS","4","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-30","AM",,,,"Start-up","N/A",,"West",,,"HP Ta","TRILIS","2","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-30","PM",,,,"Start-up","N/A",,"West",,,"HP Ta","TRILIS","2","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-31","AM",Beam Development,,,,,,,,,,,,"S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-05-31","PM",,,,"Start-up","N/A",,"West",,,"HP Ta","TRILIS","2","S1582","DSL (SEBT2)",,"32S","128000","MCIS",,
"2016-06-01","AM",,,,"Yield","YIELD ",,"West",,,"HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-01","PM",,,,"S841","YIELD ",,"West","156-158Er","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-02","AM",,,,"S841","YIELD ",,"West","156-158Er","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-02","PM",,,,"S841","YIELD ",,"West","156-158Er","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-03","AM",,,,"S841","YIELD ",,"West","78Y","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-03","PM",,,,"S841","YIELD ",,"West","78Y","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-04","AM",,,,"S841","YIELD ",,"West","78Y","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-04","PM",,,,"S841","YIELD ",,"West","Yb","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-05","AM",,,,"S841","YIELD ",,"West","Yb","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-05","PM",,,,"S841","YIELD ",,"West","Yb","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-06","AM",,,,"Setup","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-06","PM",,,,"M1306","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-07","AM",(If req.) Maint if required,,Maintenance,,,,,,,,,,"Start-up","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-07","PM",,,,"M1306","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2","Start-up","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-08","AM",,,,"M1306","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-08","PM",,,,"M1563","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-09","AM",,,,"M1563","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-09","PM",,,,"M1563","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
